AQI,TVOC,eCO2,Temperature,Pressure,Altitude,Label
0,0,0,22.37109375,981.7816481593422,265.34240706472343,ambient
0,0,0,22.4359375,981.8067386061509,265.16603364127565,ambient
0,0,0,22.4484375,981.8359919163763,265.2447617010476,ambient
0,0,0,22.4634765625,981.7961212309559,265.1897901473173,ambient
1,24,400,22.4609375,981.774619343424,265.2738788561766,ambient
1,24,400,22.4658203125,981.8049321347343,265.35552429626716,ambient
1,24,400,22.468359375,981.7940368499251,265.5683248551528,ambient
1,0,400,22.468359375,981.7868513359201,265.4227330139717,ambient
1,0,400,22.4734375,981.7780282580798,265.1960847686475,ambient
1,0,400,22.4658203125,981.774619343424,265.29484972299576,ambient
1,0,400,22.4658203125,981.7786966669404,265.32396782410916,ambient
1,0,400,22.4708984375,981.7940368499251,264.83211552070895,ambient
1,0,400,22.4708984375,981.7786966669404,265.4258817957775,ambient
1,0,400,22.4708984375,981.7698065557232,265.23661375611096,ambient
1,0,400,22.4783203125,981.8076598948944,265.5423560829865,ambient
1,0,400,22.480859375,981.7923323847483,265.25687839624356,ambient
1,0,400,22.4783203125,981.7640248181804,265.4113225981333,ambient
1,7,400,22.4783203125,981.7984019258512,265.0272039893331,ambient
1,7,400,22.4783203125,981.82366877274,265.1379707282899,ambient
1,7,400,22.4833984375,981.8379732605539,265.2221763648819,ambient
1,7,400,22.4833984375,981.8011426114391,265.2688800890688,ambient
1,7,400,22.4833984375,981.8049193462015,265.29812210273514,ambient
1,7,400,22.480859375,981.8069244919125,265.3707943613594,ambient
1,8,400,22.4833984375,981.7657160389676,265.3038266332378,ambient
1,8,400,22.480859375,981.7636434978526,265.4000378493212,ambient
1,8,400,22.4833984375,981.7663842829093,265.3506554073834,ambient
1,13,400,22.480859375,981.7500074685685,265.23103051421987,ambient
1,13,400,22.4833984375,981.7881748498833,265.23103051421987,ambient
1,13,400,22.4859375,981.7697797769008,265.37091896651697,ambient
1,13,400,22.4859375,981.7687570104868,265.2632990420031,ambient
1,18,400,22.4884765625,981.8055877487807,265.21659539041497,ambient
1,18,400,22.4859375,981.7728342426926,265.5456334401114,ambient
1,18,400,22.480859375,981.7748933301826,265.28356278881273,ambient
1,12,400,22.4859375,981.7531163918171,265.48726899213676,ambient
1,12,400,22.4884765625,981.7936430332618,265.4058682928229,ambient
1,12,400,22.4859375,981.7936430332618,265.33307063040996,ambient
1,24,401,22.493359375,981.7919385142991,265.28368827116515,ambient
1,24,401,22.4859375,981.7919385142991,265.3620638814759,ambient
1,24,401,22.4958984375,981.7738569947808,265.3362227162903,ambient
1,18,400,22.4958984375,981.8035022083271,265.2602734583182,ambient
1,18,400,22.4908203125,981.7602208003227,265.05401534893474,ambient
1,18,400,22.50078125,981.8147523454161,265.2254505260503,ambient
1,18,400,22.4958984375,981.7960023327399,265.324816028081,ambient
1,21,400,22.4984375,981.7714842945612,265.170364255718,ambient
1,21,400,22.50078125,981.8035022083271,265.12668602397906,ambient
1,21,400,22.50078125,981.7915568573785,265.4527001827124,ambient
1,17,400,22.50078125,981.7687434211076,265.2956966540401,ambient
1,17,400,22.50078125,981.8028205177651,265.2228985621569,ambient
1,17,400,22.5033203125,981.774511335859,265.0976938006603,ambient
1,19,400,22.505859375,981.81098862831,265.2956966540401,ambient
1,19,400,22.4884765625,981.7820114524799,265.2083390026261,ambient
1,19,400,22.4958984375,981.7694115621981,265.4292840068576,ambient
1,16,400,22.50078125,981.7745251565631,265.2545693593824,ambient
1,16,400,22.4908203125,981.7789705693555,265.16163547130753,ambient
1,16,400,22.5033203125,981.7949659628845,265.234305962869,ambient
1,16,400,22.4984375,981.811643357039,265.2812663086151,ambient
1,20,400,22.505859375,981.7980068198492,265.25772124874254,ambient
1,20,400,22.50078125,981.8137160503295,265.2084674578232,ambient
1,20,400,22.50078125,981.7939295586565,265.1065498904744,ambient
1,21,400,22.505859375,981.7939295586565,265.25784963384103,ambient
1,21,400,22.5033203125,981.800747798059,265.2724093727206,ambient
1,21,400,22.5083984375,981.8099387895396,265.1502287302302,ambient
1,22,400,22.4984375,981.815720682325,265.1033974646677,ambient
1,22,400,22.5033203125,981.8297118626907,265.03945590425485,ambient
1,22,400,22.5033203125,981.7977068788458,265.0831342971424,ambient
1,27,408,22.50078125,981.772806784258,265.60715628166537,ambient
1,27,408,22.4984375,981.7642840277556,265.36849523624943,ambient
1,27,408,22.50078125,981.771401775359,265.5984305239765,ambient
1,27,408,22.5083984375,981.8007339865674,265.26670649922846,ambient
1,18,400,22.50078125,981.7813295432646,265.4267344550643,ambient
1,18,400,22.505859375,981.7768839671619,265.2868404033235,ambient
1,18,400,22.5033203125,981.772806784258,265.44699715585773,ambient
1,23,400,22.5083984375,981.7748109196446,265.3743280940511,ambient
1,23,400,22.50078125,981.7659885788557,265.3888879898417,ambient
1,23,400,22.5109375,981.8099387895396,265.3452083613178,ambient
1,23,400,22.5083984375,981.7768839671619,265.2521467094545,ambient
1,23,400,22.5033203125,981.7939295586565,265.397745489798,ambient
1,23,400,22.5109375,981.7830340953666,265.22618152814545,ambient
1,17,400,22.5109375,981.7952657937722,265.365470965805,ambient
1,17,400,22.5083984375,981.7901520738878,265.1794780729151,ambient
1,17,400,22.5033203125,981.7724383298986,265.5256301226533,ambient
1,17,400,22.505859375,981.7962883131177,265.4009012860326,ambient
1,23,400,22.5109375,981.7901520738878,265.3046834452191,ambient
1,23,400,22.5083984375,981.7877794211643,265.52308429154465,ambient
1,23,400,22.51328125,981.7666424046637,265.4908078095545,ambient
1,17,400,22.5158203125,981.8003655462112,265.28139752651856,ambient
1,17,400,22.5158203125,981.7683469828073,265.02817759697047,ambient
1,17,400,22.5109375,981.775833280005,265.33950574229306,ambient
1,26,405,22.5109375,981.7748109196446,265.2844211336174,ambient
1,26,405,22.5109375,981.7819976435586,265.18505123365287,ambient
1,26,405,22.51328125,981.7768698750275,265.2521467094545,ambient
1,24,400,22.5109375,981.7833337821113,265.51422592629393,ambient
1,24,400,22.505859375,981.7485744262801,265.41800784026077,ambient
1,24,400,22.5109375,981.778574453772,265.19706184309763,ambient
1,24,400,22.51328125,981.7860748550675,265.1794780729151,ambient
1,19,400,22.51328125,981.7628789163983,265.3135410540367,ambient
1,19,400,22.5109375,981.8020701400528,265.24644396487435,ambient
1,19,400,22.51328125,981.7945976865535,265.19706184309763,ambient
1,35,426,22.505859375,981.7966705157877,265.2958261376095,ambient
1,35,426,22.5083984375,981.7748109196446,265.25530129165367,ambient
1,35,426,22.518359375,981.7877653809011,265.24074140009566,ambient
1,22,400,22.51328125,981.7622109402295,265.35406564974784,ambient
1,22,400,22.505859375,981.779924636824,265.3135410540367,ambient
1,22,400,22.5083984375,981.8365301906919,265.2926721336119,ambient
1,22,400,22.51328125,981.814002299749,265.2901235457127,ambient
1,27,409,22.5158203125,981.8357937749449,265.3774832369654,ambient
1,27,409,22.5109375,981.775833280005,265.24644396487435,ambient
